栏目,节目标题,节目链接,媒体数量,爬取时间
国内经典,小花（上）,http://www.hawh.cn/content/redirect?id=108091092208851817,0,
国内经典,洪湖赤卫队（下）,http://www.hawh.cn/content/redirect?id=108091526927001441,0,
国内经典,洪湖赤卫队（上）,http://www.hawh.cn/content/redirect?id=108099338195702270,0,
国内经典,毕升(下),http://www.hawh.cn/content/redirect?id=108092343556289352,0,
国内经典,毕升(上),http://www.hawh.cn/content/redirect?id=108097926599771458,0,
国内经典,李四光(下),http://www.hawh.cn/content/redirect?id=108095937626945595,0,
国内经典,李四光(上),http://www.hawh.cn/content/redirect?id=108097948495856762,0,
国内经典,柳堡的故事,http://www.hawh.cn/content/redirect?id=108095835379641181,0,
国内经典,英雄虎胆（下),http://www.hawh.cn/content/redirect?id=108096382636310341,0,
国内经典,英雄虎胆（上）,http://www.hawh.cn/content/redirect?id=108091651701435963,0,
国内经典,阿Q正传（下）,http://www.hawh.cn/content/redirect?id=108091811999187329,0,
国内经典,阿Q正传（上）,http://www.hawh.cn/content/redirect?id=108096031483810697,0,
,神话启幕、特惠畅玩！来银基开启端午奇幻之旅,http://www.hawh.cn/content/redirect?id=7339213036802019328,0,
,习近平的文化足迹丨以和为贵,http://www.hawh.cn/content/redirect?id=7322822667336159232,0,
,河南博物院贺岁MV《蛇全蛇美》精彩唱响,http://www.hawh.cn/content/redirect?id=7288457178212470784,0,
,河南省第十六届戏剧展演14日开幕,http://www.hawh.cn/content/redirect?id=7262287057274277888,0,
,看大片：林州柏尖山的秋天,http://www.hawh.cn/content/redirect?id=7255118775173779456,0,
,第十三届郑州国际少林武术节宣传片发布,http://www.hawh.cn/content/redirect?id=7252858456858693632,0,
,传统与现代辉映 中原文化“奏响”新篇章,http://www.hawh.cn/content/redirect?id=7250396321599721472,0,
,非遗看中国｜国风MV《溢彩时光》,http://www.hawh.cn/content/redirect?id=7245313389386272768,0,
,5000多年前仰韶先民面貌复原,http://www.hawh.cn/content/redirect?id=7244621192353550336,0,
,读懂黄河，读懂中华文明的根与魂,http://www.hawh.cn/content/redirect?id=7242034081792266240,0,
